"marca","nombre_fantasia","denominacion","RNPA"
"Star Frites","No registra","Papas prefritas supercongeladas - Tradicional/ tradicionales/ corte tradicional/ corte fino/ corte restaurante/ tipo españolas/ steakhouse/ crinkles/ 7mm/ 10mm/ 12mm - Libre de gluten","02-608100"
"Surreal","No registra","Papas prefritas supercongeladas - Libre de gluten","02-587820"
"Swift","No registra","Papas prefritas supercongeladas- Libre de gluten-tradicional/tradicionales/corte  tradicional/corte fino/corte restaurante/tipo españolas/steakhouse/crinkles/7mm/10mm/12mm/baston","02-611181"
"Swift","No registra","Papas prefritas supercongeladas- Libre de gluten","02-587362"
"Tío Yaco","Empanadas de jamón y queso","Comida preparada sobrecongelada: empanada cocida con relleno de jamón y queso - Libre de gluten sin TACC","19010224"
"Tío Yaco","Empanadas de carne","Comida preparada sobrecongelada: empanada cocida rellena de carne picada y cebolla libre de gluten sin TACC","19010270"
"Tío Yaco","Tarta de jamón y queso","Tarta cocida sobrecongelada con relleno de jamón y queso - Libre de gluten - Sin TACC","19010220"
"Tío Yaco","Pizza especial","Pizza con tomate, mozzarella y jamón cocido sobrecongelada. Libre de gluten - sin TACC","19010646"
"Tío Yaco","Sándwich de jamón y queso","Comidas preparadas sobrecongeladas libre de gluten sin TACC","19010650"
"Todo Tartas","No registra","Quiche de berenjenas y queso muzzarella - Libre de gluten","02-599432"
"Todo Tartas","No registra","Quiche de espinaca con crema y queso cremoso - Libre de gluten","02-599431"
"Todo Tartas","No registra","Quiche de pollo a la crema - Libre de gluten","02-599433"
"Veggie","No registra","Alimento a base de arroz, porotos aduki y espinaca - congelado - Hamburguesas veggie con espinaca, congelada - Libre de gluten","02-604550"
"Veggie","No registra","Alimento a base de arroz, remolacha y garbanzos – congelado - Hamburguesas veggie con remolacha, congelada - Libre de gluten","02-604551"
"Wendy's","No registra","Papas prefritas - Bastón - Supercongeladas con cáscara libre de gluten","02-579759"
"Yo Tambien Quiero","No registra","Tarta de jamón y queso - Libre de gluten - congelado","02-609272"
"Yo Tambien Quiero","No registra","Tarta de verdura - Libre de gluten - Congelado","02-609271"
"Yo También Quiero","No registra","Empanada de carne congelada - Libre de gluten","02-600306"
"Yo También Quiero","No registra","Empanada de jamón y queso congelada - Libre de gluten","02-600308"
"Yo También Quiero","No registra","Empanada de pollo congelada - Libre de gluten","02-600307"
"Yo También Quiero","No registra","Pizza de mozarella y jamón congelada - Libre de gluten","02-600236"
"Yo También Quiero","No registra","Sándwich de miga de jamón y queso - Libre de gluten","02-600237"
"Yo También Quiero","No registra","Sándwich de miga de pan negro integral con jamón crudo y queso - Libre de gluten","02-600310"
"Yo También Quiero","No registra","Sándwich dulce tipo fosforito de jamón y queso - Libre de gluten","02-600238"
"Yo también quiero","No registra","Tarta de jamón y queso, libre de gluten - Congelado","02 - 603779"
"Yo también quiero","No registra","Tarta de verdura, libre de gluten - Congelado","02 - 603778"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Tomates y hongos - Mix bruschetta","02-606492"
"Bon Wert condimentos","Ají molido","Ají molido libre de gluten","13046306"
"Bon Wert condimentos","Cúrcuma","Cúrcuma libre de gluten","13046307"
"Bon Wert condimentos","Pesio","Mezcla de albahaca, perejil y ajo, libre de gluten","13046298"
"Bon Wert condimentos","Pimentón","Pimentón libre de gluten","13046299"
"Chango","No registra","Canela en polvo - Libre de gluten","02 - 603404"
"Huerta verde","No registra","Mezcla de vegetales deshidratados y especias para pascualina y canelones - Libre de gluten","02 - 603348"
"Molto","No registra","Ajo deshidratado - Libre de gluten - Uso industrial exclusivo","13039396"
"Molto","No registra","Cebolla deshidratada - Libre de gluten - Uso industrial exclusivo","13039354"
"Onza de oro","No registra","Condimento para arroz - Libre de gluten","02-595941"
"Pergola","No registra","Aji molido - Libre de gluten","02-601782"
"Pergola","No registra","Ajo deshidratado - Libre de gluten","02-602121"
"Pérgola","No registra","Canela libre de gluten","02-585303"
"Pérgola","No registra","Nuez moscada libre de gluten","02-578118"
"Pérgola","No registra","Orégano libre de gluten","02-578117"
"Pérgola","No registra","Pimentón extra libre de gluten","02-578134"
"Pérgola","No registra","Condimento para pizza - Libre de gluten","02-595942"
"Pérgola","No registra","Estragón libre de gluten","02-595943"
"Pérgola","No registra","Albahaca deshidratada - Libre de gluten","02 - 603508"
"Pérgola","No registra","Comino molido - Libre de gluten.","02 - 603346"
"Pérgola","No registra","Mezcla de ajo y perejil en hojas - Provenzal - Libre de gluten","02 - 603510"
"Pérgola","No registra","Pimienta blanca - Libre de gluten","02 - 603509"
"Pérgola","No registra","Pimienta negra - Libre de gluten","02 - 603347"
"Pérgola","No registra","Albahaca deshidratada - Libre de gluten","02-573040"
"Pérgola","No registra","Mezcla de ajo y perejil en hojas - Provenzal - Libre de gluten","02-572585"
"Pérgola","No registra","Perejil deshidratado libre de gluten","02-517383"
"Pérgola","No registra","Pimienta blanca libre de gluten.","02-573041"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Curry","02-606777"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Huerta","02-606587"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Puerros al estragón","02-606505"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten -Provenzal","02-606572"
"Quinto Zalla","No registra","Mezcla de especias - Libre de gluten - Condimento tipo árabe - Mix ras el hanout","02-608136"
"Quinto Zalla","No registra","Mezcla de especias para carnes rojas - Libre de gluten - Mix carnes rojas","02-608103"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Condimento tipo barbacoa - Mix barbacoa","02-608693"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Mix de cerdos","02-608122"
"Quinto Zalla","No registra","Mezcla de verduras deshidratadas y especias - Libre de gluten - Mix tomate y albahaca","02-608119"
"Surco Diaguita","No registra","Pimentón extra libre de gluten","03003924-6"
"Surco Diaguita","No registra","Ají molido libre de gluten","03003923-8"
"Bocatti","No registra","Paté al champignon libre de gluten","366/37029/2"
"Bocatti","No registra","Paté clásico libre de gluten","366/37028/2"
"Bocatti","No registra","Pate de hígado de cerdo al champignon libre de gluten","366/38029/2"
"Bocatti","No registra","Pate de hígado de cerdo a la pimienta verde libre de gluten","366/37025/2"
"Cabaña Argentina","No registra","Sardinas en su propio jugo con salsa de tomate libres de gluten","13451/61603/"
"Campo Austral","Leberwurst","Pate de hígado de cerdo libre de gluten","3414/95417/3"
"Cascabel","No registra","Atún desmenuzado al natural","I 9042/61381/1"
"GDC Argentina S.A.","No registra","Sardinas en su propio jugo con salsa de tomate libres de gluten","13451/61603/2"
"Gomes da Costa","No registra","Atún desmenuzado en salsa de tomate con hierbas libre de gluten","I 13451/89802/1"
"Gomes da Costa","No registra","Atún desmenuzado en salsa de tomates con pimientos y pimienta libre de gluten","8216/89801/1"
"Gomes da Costa","No registra","Atún en trozos al natural con caldo vegetal libre de gluten","I 13451/71932/1"
"Gomes da Costa","No registra","Filetes de sardina en aceite vegetal y pimienta libre de gluten","I 13451/61608/1"
"Gomes da Costa","No registra","Lomos de atún en aceite libre de gluten","I 13451/61598/1"
"Gomes da Costa","No registra","Lomos de atún en aceite sabor ahumado libre de gluten","I 13451/89804/1"
"Gomes da Costa","No registra","Sardinas en su propio jugo con aceite vegetal libre de gluten","13451/61605/1"
"Gomes da Costa","No registra","Sardinas en su propio jugo con aceite vegetal libre de gluten","13451/61605/2"
"Gomes Da Costa","No registra","Lomitos de atún al natural libre de gluten","I 13451/61382/1"
"Gomes Da Costa","No registra","Atún desmenuzado en aceite libre de gluten","13451/61599/1"
"Gomes Da Costa","No registra","Atún en trozos en aceite con caldo vegetal libre de gluten","13451/71739/1"
"Gomes Da Costa","No registra","Filet de sardina en aceite vegetal libre de gluten","13451/61607/1"
"Gomes da Costa","No registra","Lomos de atún claro al natural libre de gluten","I 13451/71735/1"
"Gomes Da Costa","No registra","Sardinas en su propio jugo con aceite vegetal y limón. Libre de gluten","13451/61601/1"
"Gomes de costa","No registra","Filetes de atún en aceite de oliva libre de gluten","13451/93959/1"
"La Campagnola","No registra","Caballa en salsa de tomate  - libre de gluten","02-594130"
"La Campagnola","No registra","Atún en salsa de tomate - Libre de gluten","02-519230"
"La Campagnola","No registra","Atún en aceite de oliva - Libre de gluten","02-519003"
"La Campagnola","No registra","Atún al natural. Libre de gluten","02-517522"
"La Campagnola","No registra","Caballa en aceite y agua - Libre de gluten","02-578431"
"La Campagnola","No registra","Caballa al natural - Libre de gluten","02-530329"
"La Campagnola","No registra","Sardinas argentinas en aceite al limón libre de gluten","402A/35612/1"
"La Campagnola","No registra","Caballa en salsa de tomate libre de gluten","402A/00916/3"
"La Campagnola","No registra","Caballa en agua y aceite libre de gluten","402A/95194/1"
"La Campagnola","No registra","Caballa al natural libre de gluten","402A/00914/3"
"La Campagnola","No registra","Atún en aceite libre de gluten","402A/00913/3"
"La Campagnola","No registra","Atún en aceite libre de gluten","402A/00913/4"
"La Campagnola","No registra","Atún al natural libre de gluten","402A/15646/5"
"La Campagnola","No registra","Atún al natural libre de gluten","402A/15646/6"
"Marechiare","No registra","Sardinas en aceite - Libre de gluten","02-591609"
"Marechiare","No registra","Sardinas en aceite - Libre de gluten","02 - 603653"
"Marechiare","No registra","Atún al natural libre de gluten","421/30292/2"
"Marechiare","No registra","Atún en aceite libre de gluten","421/30162/3"
"Nereida","No registra","Sardinas argentinas en aceite libre de gluten","02-561192"
"Nereida","No registra","Sardinas argentinas en aceite al limón. Libre de gluten","02-508195"
"Nereida","No registra","Atún al natural desmenuzado - Libre de gluten","02-520802"
"Nereida","No registra","Atún en aceite y agua desmenuzado - Libre de gluten","02-520999"
"Nereida","No registra","Sardinas argentinas en aceite de oliva - Libre de gluten","02-505903"
"Nereida","No registra","Sardinas argentinas en salsa de tomate - Libre de gluten","02-579535"
"Nereida","No registra","Atún desmenuzado al natural libre de gluten","402A/72724/1"
"Nereida","No registra","Atún desmenuzado en aceite y agua libre de gluten","402A/72721/1"
"Nereida","No registra","Sardinas argentinas en aceite de oliva libre de gluten","402A/32399/3"
"Nereida","No registra","Sardinas argentinas en aceite libre de gluten","402A/00908/4"
"Nereida","No registra","Sardinas argentinas en salsa de tomate libre de gluten","402A/00911/4"
"Nereida","No registra","Atún desmenuzado en aceite y agua libre de gluten","8031/113095/1"
"Pennisi","No registra","Atún al natural - Libre de gluten","02-524800"
"Pennisi","No registra","Caballa al natural - Libre de gluten","02-524801"
"Puglisi","No registra","Anchoítas en salmuera libre de gluten","02-588352"
"Puglisi","No registra","Atún al natural - Libre de gluten","02-559661"
"Puglisi","No registra","Atún en aceite - Libre de gluten","02-559660"
"Puglisi","No registra","Caballa en aceite - Libre de gluten","02-559662"
"Puglisi","No registra","Cazuela de calamares - Libre de gluten","02-531246"
"Puglisi","No registra","Sardinas argentinas en aceite - Libre de gluten","02-559663"
"Puglisi","No registra","Sardinas argentinas en salsa de tomate - Libre de gluten","02-587148"
"Puglisi","No registra","Sardinas argentinas en salsa de tomate - Libre de gluten","02-502552"
"Puglisi","No registra","Atún al natural sin sal agregada - Libre de gluten","02-532181"
"Puglisi","No registra","Atún en aceite sin sal agregada - Libre de gluten","02-532180"
"Puglisi","No registra","Atún al natural libre de gluten","435/01250/2"
"Puglisi","No registra","Atún al natural libre de gluten","435/01250/3"
"Puglisi","No registra","Atún al natural libre de gluten","435/01250/4"
"Puglisi","No registra","Atún en aceite libre de gluten","435/01249/3"
"Puglisi","No registra","Atún en aceite libre de gluten","435/01249/4"
"Puglisi","No registra","Atún en aceite libre de gluten","435/16688/1"
"Puglisi","No registra","Atún en aceite sin sal agregada libre de gluten","435/85036/1"
"Puglisi","No registra","Atún en agua sin sal agregada libre de gluten","435/85035/1"
"Puglisi","No registra","Caballa al agua sin sal agregada libre de gluten","435/88311/1"
"Puglisi","No registra","Caballa al natural libre de gluten","435/01252/1"
"Puglisi","No registra","Caballa al natural libre de gluten","435/01252/2"
"Puglisi","No registra","Caballa en aceite libre de gluten","435/01251/1"
